species_binom	acceptedScientificName	decimalLatitude	decimalLongitude
Aloe_aageodonta	Aloe aageodonta L.E.Newton	-1.78	38.1
Aloe_aageodonta	Aloe aageodonta L.E.Newton	-0.93	38.05
Aloe_aageodonta	Aloe aageodonta L.E.Newton	-0.65	39.28
Aloe_aageodonta	Aloe aageodonta L.E.Newton	-0.58	38
Aloe_aculeata	Aloe aculeata Pole-Evans	-25.875	29.375
Aloe_aculeata	Aloe aculeata Pole-Evans	-25.375	30.875
Aloe_aculeata	Aloe aculeata Pole-Evans	-25.181944	33.5275
Aloe_aculeata	Aloe aculeata Pole-Evans	-24.875	29.375
Aloe_aculeata	Aloe aculeata Pole-Evans	-24.875	30.375
Aloe_aculeata	Aloe aculeata Pole-Evans	-24.875	30.625
Aloe_aculeata	Aloe aculeata Pole-Evans	-24.625	30.125
Aloe_aculeata	Aloe aculeata Pole-Evans	-24.375	28.625
Aloe_aculeata	Aloe aculeata Pole-Evans	-24.375	28.875
Aloe_aculeata	Aloe aculeata Pole-Evans	-24.375	29.625
Aloe_aculeata	Aloe aculeata Pole-Evans	-24.125	28.375
Aloe_aculeata	Aloe aculeata Pole-Evans	-24.125	29.125
Aloe_aculeata	Aloe aculeata Pole-Evans	-23.875	29.375
Aloe_aculeata	Aloe aculeata Pole-Evans	-23.875	29.875
Aloe_aculeata	Aloe aculeata Pole-Evans	-23.875	30.125
Aloe_aculeata	Aloe aculeata Pole-Evans	-23.125	29.875
Aloe_aculeata	Aloe aculeata Pole-Evans	-23.03924	29.44954
Aloe_aculeata	Aloe aculeata Pole-Evans	-22.65	27.516667
Aloe_aculeata	Aloe aculeata Pole-Evans	-22.625	31.125
Aloe_aculeata	Aloe aculeata Pole-Evans	-20.625	27.625
Aloe_aculeata	Aloe aculeata Pole-Evans	-20.416667	28.483333
Aloe_aculeata	Aloe aculeata Pole-Evans	-20.375	28.375
Aloe_aculeata	Aloe aculeata Pole-Evans	-20.35	31.45
Aloe_aculeata	Aloe aculeata Pole-Evans	-19.9623	32.3532
Aloe_affinis	Aloe affinis A.Berger	-32.375	22.375
Aloe_affinis	Aloe affinis A.Berger	-26.625	24.375
Aloe_affinis	Aloe affinis A.Berger	-26.375	30.125
Aloe_affinis	Aloe affinis A.Berger	-26.125	30.375
Aloe_affinis	Aloe affinis A.Berger	-25.625	30.125
Aloe_affinis	Aloe affinis A.Berger	-25.625	30.375
Aloe_affinis	Aloe affinis A.Berger	-25.625	30.625
Aloe_affinis	Aloe affinis A.Berger	-25.375	30.375
Aloe_affinis	Aloe affinis A.Berger	-25.375	30.625
Aloe_affinis	Aloe affinis A.Berger	-25.375	30.875
Aloe_affinis	Aloe affinis A.Berger	-25.125	30.375
Aloe_affinis	Aloe affinis A.Berger	-25.125	30.625
Aloe_affinis	Aloe affinis A.Berger	-25.125	30.875
Aloe_affinis	Aloe affinis A.Berger	-24.961344	30.86167
Aloe_affinis	Aloe affinis A.Berger	-24.875	30.625
Aloe_affinis	Aloe affinis A.Berger	-24.875	30.875
Aloe_affinis	Aloe affinis A.Berger	-24.625	30.625
Aloe_affinis	Aloe affinis A.Berger	-24.625	30.875
Aloe_affinis	Aloe affinis A.Berger	-24.5793	30.7732
Aloe_affinis	Aloe affinis A.Berger	-24.375	29.625
Aloe_affinis	Aloe affinis A.Berger	-24.14094	29.19869
Aloe_affinis	Aloe affinis A.Berger	-24.125	29.125
Aloe_affinis	Aloe affinis A.Berger	-24.125	29.875
Aloe_affinis	Aloe affinis A.Berger	-23.875	30.375
Aloe_africana	Aloe africana Mill.	-34.025967	25.487395
Aloe_africana	Aloe africana Mill.	-34.023935	25.68728
Aloe_africana	Aloe africana Mill.	-34.021828	25.694886
Aloe_africana	Aloe africana Mill.	-34.006386	25.600182
Aloe_africana	Aloe africana Mill.	-33.998208	24.942873
Aloe_africana	Aloe africana Mill.	-33.997723	25.322466
Aloe_africana	Aloe africana Mill.	-33.994472	24.934702
Aloe_africana	Aloe africana Mill.	-33.986362	25.297678
Aloe_africana	Aloe africana Mill.	-33.974594	25.255421
Aloe_africana	Aloe africana Mill.	-33.963045	25.010553
Aloe_africana	Aloe africana Mill.	-33.952641	24.962154
Aloe_africana	Aloe africana Mill.	-33.93872	24.99748
Aloe_africana	Aloe africana Mill.	-33.912152	25.045307
Aloe_africana	Aloe africana Mill.	-33.875	24.875
Aloe_africana	Aloe africana Mill.	-33.875	25.375
Aloe_africana	Aloe africana Mill.	-33.875	25.625
Aloe_africana	Aloe africana Mill.	-33.803153	25.429533
Aloe_africana	Aloe africana Mill.	-33.728566	25.411518
Aloe_africana	Aloe africana Mill.	-33.727867	25.411047
Aloe_africana	Aloe africana Mill.	-33.70565	25.801627
Aloe_africana	Aloe africana Mill.	-33.700867	25.8068
Aloe_africana	Aloe africana Mill.	-33.69265	26.668346
Aloe_africana	Aloe africana Mill.	-33.688982	26.670535
Aloe_africana	Aloe africana Mill.	-33.687327	25.837155
Aloe_africana	Aloe africana Mill.	-33.686708	26.674015
Aloe_africana	Aloe africana Mill.	-33.684281	26.679319
Aloe_africana	Aloe africana Mill.	-33.683807	25.841525
Aloe_africana	Aloe africana Mill.	-33.683486	25.795866
Aloe_africana	Aloe africana Mill.	-33.681229	26.680292
Aloe_africana	Aloe africana Mill.	-33.68118	26.680288
Aloe_africana	Aloe africana Mill.	-33.680197	26.679785
Aloe_africana	Aloe africana Mill.	-33.674	25.804
Aloe_africana	Aloe africana Mill.	-33.67351	25.80338
Aloe_africana	Aloe africana Mill.	-33.672732	25.854028
Aloe_africana	Aloe africana Mill.	-33.671073	25.85508
Aloe_africana	Aloe africana Mill.	-33.67	25.8
Aloe_africana	Aloe africana Mill.	-33.647084	25.881886
Aloe_africana	Aloe africana Mill.	-33.631395	26.213026
Aloe_africana	Aloe africana Mill.	-33.629242	25.903913
Aloe_africana	Aloe africana Mill.	-33.627022	25.905295
Aloe_africana	Aloe africana Mill.	-33.625	26.875
Aloe_africana	Aloe africana Mill.	-33.607508	26.16479
Aloe_africana	Aloe africana Mill.	-33.59683	26.07863
Aloe_africana	Aloe africana Mill.	-33.587037	25.943367
Aloe_africana	Aloe africana Mill.	-33.586317	25.943918
Aloe_africana	Aloe africana Mill.	-33.579935	25.95459
Aloe_africana	Aloe africana Mill.	-33.579768	25.955853
Aloe_africana	Aloe africana Mill.	-33.577535	25.962425
Aloe_africana	Aloe africana Mill.	-33.560825	26.230394
