Taxon	Taxon_phylo	Genus	Mean_vegetative_height_m	Mean_flowering_height_m	Vegetative_height_category	Flowering_height_category	Source
Aloe_aageodonta	Aloe_aageodonta	Aloe	0.525	0.752	medium	medium	http://davesgarden.com/guides/pf/go/151766/
Aloe_aculeata	Aloe_aculeata	Aloe	0.45	1.45	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_affinis	Aloe_affinis	Aloe	0.25	1	small	medium	Plants_of_southern_Africa
Aloe_africana	Aloe_africana	Aloe	3	3.7	tall	tall	http://www.aloes.wz.cz/index3.htm
Aloe_albida	Aloe_albida	Aloe	0.15	1.1	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_alooides	Aloe_alooides	Aloe	2	NA	tall	tall	Guide_to_the_Aloes_of_SouthAfrica
Aloe_angelica	Aloe_angelica	Aloe	2.5	3.5	tall	tall	http://www.aloes.wz.cz/index3.htm
Aloe_anivoranoensis	Aloe_anivoranoensis	Aloe	0.2	0.35	small	small	http://www.aloes.wz.cz/index3.htm
Aloe_arborescens	Aloe_arborescens	Aloe	2	2.9	tall	tall	Guide_to_the_Aloes_of_SouthAfrica
Aloe_archeri	Aloe_archeri	Aloe	0.7	1.75	medium	tall	https://de.wikipedia.org/wiki/Aloe_archeri
Aloe_arenicola	Aloe_arenicola	Aloe	1	1.5	medium	medium	http://www.aloes.wz.cz/index3.htm
Aloe_babatiensis	Aloe_babatiensis	Aloe	1	1.65	medium	tall	https://de.wikipedia.org/wiki/Aloe_babatiensis
Aloe_bakeri	Aloe_bakeri	Aloe	0.15	0.425	small	small	https://de.wikipedia.org/wiki/Aloe_bakeri
Aloe_bowiea	Aloe_bowiea	Aloe	0.125	0.475	small	small	http://www.aloes.wz.cz/index3.htm
Aloe_boylei	Aloe_boylei	Aloe	0.55	1.15	medium	medium	http://www.aloes.wz.cz/index3.htm
Aloe_branddraaiensis	Aloe_branddraaiensis	Aloe	0.25	1.25	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_brevifolia	Aloe_brevifolia	Aloe	0.06	0.46	small	small	http://www.aloes.wz.cz/index3.htm
Aloe_buhrii	Aloe_buhrii	Aloe	0.4	1	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_bulbillifera	Aloe_bulbillifera	Aloe	0.175	2.425	small	tall	http://www.aloes.wz.cz/index3.htm
Aloe_cameronii	Aloe_cameronii	Aloe	0.4	0.75	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_capitata	Aloe_capitata	Aloe	0.8	1.6	medium	medium	http://www.aloes.wz.cz/index3.htm
Aloe_chabaudii	Aloe_chabaudii	Aloe	0.45	1.95	small	tall	http://www.aloes.wz.cz/index3.htm
Aloe_challisii	Aloe_challisii	Aloe	0.15	0.3	small	small	https://de.wikipedia.org/wiki/Aloe_challisii
Aloe_chortolirioides	Aloe_chortolirioides	Aloe	0.25	0.45	small	small	Guide_to_the_Aloes_of_SouthAfrica
Aloe_claviflora	Aloe_claviflora	Aloe	0.4	0.9	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_comosa	Aloe_comosa	Aloe	2	5	tall	tall	Guide_to_the_Aloes_of_SouthAfrica
Aloe_compressa	Aloe_compressa	Aloe	0.135	0.7	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_confusa	Aloe_confusa	Aloe	0.3	0.75	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_conifera	Aloe_conifera	Aloe	0.15	0.65	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_dawei	Aloe_dawei	Aloe	0.2	0.95	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_deltoideodonta	Aloe_deltoideodonta	Aloe	0.115	0.615	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_dewetii	Aloe_dewetii	Aloe	0.375	1.65	small	tall	Guide_to_the_Aloes_of_SouthAfrica
Aloe_dewinteri	Aloe_dewinteri	Aloe	0.8	1.125	medium	medium	Guide_to_the_Aloes_of_SouthAfrica
Aloe_diolii	Aloe_diolii	Aloe	0.35	0.71	small	medium	http://davesgarden.com/guides/pf/go/63942/
Aloe_doei	Aloe_doei	Aloe	0.45	1.85	small	tall	https://de.wikipedia.org/wiki/Aloe_lavranosii
Aloe_dominella	Aloe_dominella	Aloe	0.35	0.75	small	medium	Guide_to_the_Aloes_of_SouthAfrica
Aloe_dorotheae	Aloe_dorotheae	Aloe	0.2	0.7	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_dyeri	Aloe_dyeri	Aloe	1.65	1.9	medium	tall	Guide_to_the_Aloes_of_SouthAfrica
Aloe_ecklonis	Aloe_ecklonis	Aloe	0.35	0.8	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_ellenbeckii	Aloe_ellenbeckii	Aloe	0.225	0.825	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_excelsa	Aloe_excelsa	Aloe	3	4	tall	tall	http://www.aloes.wz.cz/index3.htm
Aloe_ferox	Aloe_ferox	Aloe	3.5	4.5	tall	tall	http://www.aloes.wz.cz/index3.htm
Aloe_fibrosa	Aloe_fibrosa	Aloe	2	3	tall	tall	http://forum.bcss.org.uk/viewtopic.php?t=161667
Aloe_fleurentinorum	Aloe_fleurentinorum	Aloe	0.375	0.525	small	small	http://davesgarden.com/guides/pf/go/59348/
Aloe_flexilifolia	Aloe_flexilifolia	Aloe	0.5	2	small	tall	http://tropical.theferns.info/viewtropical.php?id=Aloe+flexilifolia
Aloe_forbesii	Aloe_forbesii	Aloe	0.1	0.2	small	small	http://www.aloes.wz.cz/forben.htm
Aloe_fosteri	Aloe_fosteri	Aloe	0.4	1.8	small	tall	http://www.aloes.wz.cz/index3.htm
Aloe_fouriei	Aloe_fouriei	Aloe	0.225	0.55	small	small	Plants_of_southern_Africa_581_968_PLA
Aloe_glauca	Aloe_glauca	Aloe	0.45	1.25	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_globuligemma	Aloe_globuligemma	Aloe	1	2.75	medium	tall	http://www.aloes.wz.cz/index3.htm
Aloe_graciliflora	Aloe_graciliflora	Aloe	0.3	1.1	NA	NA	Klopper_et_al_2011_Bradleya
Aloe_grandidentata	Aloe_grandidentata	Aloe	0.5	1.4	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_greatheadii	Aloe_greatheadii	Aloe	0.47	1.75	small	tall	Guide_to_the_Aloes_of_SouthAfrica
Aloe_greenii	Aloe_greenii	Aloe	0.45	1.6	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_haworthioides	Aloe_haworthioides	Aloe	0.035	0.25	small	small	http://www.aloes.wz.cz/index3.htm
Aloe_hereroensis	Aloe_hereroensis	Aloe	0.35	1	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_hexapetala	Aloe_hexapetala	Aloe	4	4.5	NA	NA	same_A._speciosa
Aloe_humilis	Aloe_humilis	Aloe	0.12	0.42	small	small	http://www.aloes.wz.cz/index3.htm
Aloe_inermis	Aloe_inermis	Aloe	0.375	0.525	small	small	http://davesgarden.com/guides/pf/go/125256/
Aloe_jucunda	Aloe_jucunda	Aloe	0.04	0.39	small	small	http://www.aloes.wz.cz/index3.htm
Aloe_juvenna	Aloe_juvenna	Aloe	0.04	0.25	small	small	http://www.aloes.wz.cz/index3.htm
Aloe_kniphofioides	Aloe_kniphofioides	Aloe	0.375	0.5	small	small	Guide_to_the_Aloes_of_SouthAfrica
Aloe_kouebokkeveldensis	Aloe_kouebokkeveldensis	Aloe	0.48	1.4	small	medium	Guide_to_the_Aloes_of_SouthAfrica
Aloe_krapohliana	Aloe_krapohliana	Aloe	0.2	0.6	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_kulalensis	Aloe_kulalensis	Aloe	0.215	0.515	small	small	http://www.aloes.wz.cz/index3.htm
Aloe_lateritia	Aloe_lateritia	Aloe	0.375	1.625	small	tall	https://de.wikipedia.org/wiki/Aloe_lateritia
Aloe_leptosiphon	Aloe_leptosiphon	Aloe	0.525	0.75	medium	medium	http://davesgarden.com/guides/pf/go/190265/
Aloe_lineata	Aloe_lineata	Aloe	1.5	2	medium	tall	http://www.aloes.wz.cz/index3.htm
Aloe_littoralis	Aloe_littoralis	Aloe	3	5	tall	tall	http://www.aloes.wz.cz/index3.htm
Aloe_longibracteata	Aloe_longibracteata	Aloe	0.1	1	small	medium	Guide_to_the_Aloes_of_SouthAfrica
Aloe_lutescens	Aloe_lutescens	Aloe	0.65	1.05	medium	medium	Plants_of_southern_Africa_581_968_PLA
Aloe_maculata	Aloe_maculata	Aloe	0.35	1.05	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_marlothii	Aloe_marlothii	Aloe	5	5.8	tall	tall	http://www.aloes.wz.cz/index3.htm
Aloe_melanacantha	Aloe_melanacantha	Aloe	0.6	1.6	medium	medium	http://www.aloes.wz.cz/index3.htm
Aloe_microstigma	Aloe_microstigma	Aloe	0.35	1.05	small	medium	http://www.aloes.wz.cz/index3.htm
Aloe_monotropa	Aloe_monotropa	Aloe	0.3	0.8	small	medium	Guide_to_the_Aloes_of_SouthAfrica
