generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Aloe_aageodonta,Kumara_plicatilis,0,0.032,0,0.005,0
500,Aloe_aageodonta,Kumara_plicatilis,0,0.198599,0.0737993,0.138792,0
1000,Aloe_aageodonta,Kumara_plicatilis,0,0.219646,0.0660535,0.208937,0
1500,Aloe_aageodonta,Kumara_plicatilis,0,0.266347,0.0231536,0.160691,0
1500,Aloidendron_barberae,Aloidendron_eminens,7.69755,0.304293,-0.0691463,0.132432,0
2000,Aloe_aageodonta,Kumara_plicatilis,0,0.208092,0.0265673,0.0474721,0
2000,Aloe_arenicola,Aloe_melanacantha,15.9006,0.908677,-0.0627936,0.611625,0
2000,Aloidendron_barberae,Aloidendron_eminens,8.83262,0.604649,-0.101262,0.145779,0
2500,Aloe_aageodonta,Kumara_plicatilis,0,0.23105,0.0339387,0.121587,0
2500,Gasteria_acinacifolia,Gasteria_brachyphylla,27.1016,1.10008,-0.0212829,0.0517788,0
2500,Aloidendron_barberae,Aloidendron_eminens,9.49268,0.438784,-0.0212608,0.319049,0
3000,Aloe_aageodonta,Kumara_plicatilis,0,0.21467,0.0858298,0.176732,0
3500,Aloe_aageodonta,Kumara_plicatilis,0,0.217495,0.0610326,0.163234,0
4000,Aloe_aageodonta,Kumara_plicatilis,0,0.22351,0.0282945,0.132188,0
4500,Aloe_aageodonta,Kumara_plicatilis,0,0.237032,0.0258829,0.170756,0
5000,Aloe_aageodonta,Kumara_plicatilis,0,0.191844,0.0911352,0.0563695,0
5000,Aloidendron_barberae,Aloidendron_eminens,4.17635,0.214345,-0.0550389,0.109084,0
5000,Kumara_haemanthifolia,NA,28.0681,0.18498,-0.0248076,0.473111,0
5500,Aloe_aageodonta,Kumara_plicatilis,0,0.191281,0.0512298,0.0559088,0
5500,Aloidendron_barberae,Aloidendron_eminens,3.36723,0.446811,-0.0486823,0.0668941,0
6000,Aloe_aageodonta,Kumara_plicatilis,0,0.213603,0.047796,0.125671,0
6000,Aloidendron_barberae,Aloidendron_eminens,5.72982,0.474897,-0.100303,0.202925,0
6500,Aloe_aageodonta,Kumara_plicatilis,0,0.21151,0.0381859,0.0656583,0
6500,Aloidendron_barberae,Aloidendron_eminens,6.45388,0.142967,-0.0524391,0.024722,0
7000,Aloe_aageodonta,Kumara_plicatilis,0,0.289498,0.0285557,0.208365,0
7500,Aloe_aageodonta,Kumara_plicatilis,0,0.246027,0.0206864,0.0854114,0
7500,Kumara_plicatilis,NA,22.9492,0.448815,-0.0729789,1.64635,0
8000,Aloe_aageodonta,Kumara_plicatilis,0,0.259796,0.03332,0.249372,0
8000,Kumara_plicatilis,NA,24.3951,0.542292,0.021084,2.25833,0
8500,Aloe_aageodonta,Kumara_plicatilis,0,0.217137,0.0545252,0.150975,0
8500,Gasteria_acinacifolia,NA,28.8724,0.230872,0.0123033,0.15102,0
9000,Aloe_aageodonta,Kumara_plicatilis,0,0.20568,0.0579603,0.118199,0
9000,Aloiampelos_ciliaris,Aloiampelos_commixta,10.9117,0.384497,-0.0786415,0.218276,0
9000,Aloidendron_barberae,Aloidendron_eminens,9.4527,0.242658,-0.0347037,0.067449,0
9000,Kumara_plicatilis,NA,18.2859,0.176441,0.0392691,0.681699,0
9500,Aloe_aageodonta,Kumara_plicatilis,0,0.20568,0.0354121,0.0900784,0
9500,Aloidendron_barberae,Aloidendron_dichotomum,15.3262,0.214376,-0.016711,0.128752,0
9500,Aloiampelos_tenuior,NA,28.4414,0.224399,0.00411071,1.42011,0
10000,Aloe_aageodonta,Kumara_plicatilis,0,0.215805,0.0351739,0.14291,0
10000,Aloiampelos_tenuior,NA,29.0473,0.163965,0.0247987,1.11975,0
10500,Aloe_aageodonta,Kumara_plicatilis,0,0.312477,0.0127947,0.213298,0
11000,Aloe_aageodonta,Kumara_plicatilis,0,0.332591,0.00178411,0.175718,0
11500,Aloe_aageodonta,Kumara_plicatilis,0,0.342101,0.000601481,0.163828,0
12000,Aloe_aageodonta,Kumara_plicatilis,0,0.172801,0.042177,0.0360422,0
12500,Aloe_aageodonta,Kumara_plicatilis,0,0.232046,0.0396377,0.186738,0
13000,Aloe_aageodonta,Kumara_plicatilis,0,0.182081,0.0597701,0.0672006,0
13500,Aloe_aageodonta,Kumara_plicatilis,0,0.215439,0.0657066,0.193863,0
14000,Aloe_aageodonta,Kumara_plicatilis,0,0.187574,0.0413709,0.0985177,0
14500,Aloe_aageodonta,Kumara_plicatilis,0,0.257146,0.0376578,0.209738,0
15000,Aloe_aageodonta,Kumara_plicatilis,0,0.246537,0.0644651,0.244792,0
15500,Aloe_aageodonta,Kumara_plicatilis,0,0.197869,0.0755244,0.123945,0
16000,Aloe_aageodonta,Kumara_plicatilis,0,0.191286,0.0752208,0.0641054,0
16500,Aloe_aageodonta,Kumara_plicatilis,0,0.20248,0.0575642,0.128582,0
17000,Aloe_aageodonta,Kumara_plicatilis,0,0.225029,0.0477867,0.15452,0
17500,Aloe_aageodonta,Kumara_plicatilis,0,0.206813,0.104198,0.188618,0
18000,Aloe_aageodonta,Kumara_plicatilis,0,0.321393,0.00635852,0.162366,0
18000,Kumara_haemanthifolia,NA,25.2436,0.347113,-0.0158791,1.72915,0
18500,Aloe_aageodonta,Kumara_plicatilis,0,0.298994,0.0115277,0.0999229,0
18500,Gasteria_glomerata,NA,28.851,2.25553,-0.109788,0.140261,0
18500,Kumara_haemanthifolia,NA,23.1145,0.355978,-0.00424583,1.28466,0
18500,Kumara_plicatilis,NA,13.3782,0.48031,-0.0931426,0.702577,0
19000,Aloe_aageodonta,Kumara_plicatilis,0,0.275083,0.0115277,0.0665267,0
19000,Aloe_brevifolia,NA,10.118,0.765253,-0.0792953,0.29562,0
19000,Kumara_haemanthifolia,NA,24.2581,0.361441,0.0302411,1.31071,0
19000,Kumara_plicatilis,NA,11.9232,0.0306584,-0.0444167,0.532661,0
19500,Aloe_aageodonta,Kumara_plicatilis,0,0.300011,0.0115277,0.100577,0
19500,Tulista_marginata,NA,27.7107,0.160529,0.0345808,2.20533,0
19500,Haworthia_semiviva,NA,28.3093,0.0187252,-0.0222737,0.0467281,0
19500,Kumara_haemanthifolia,NA,20.5129,0.137186,0.0264948,0.552251,0
19500,Kumara_plicatilis,NA,11.606,0.010101,0.00323672,0.526241,0
20000,Aloe_aageodonta,Kumara_plicatilis,0,0.247488,0.0220912,0.0502886,0
20000,Aloe_angelica,NA,25.2137,0.238541,0.0693105,1.06719,0
20000,Aloidendron_barberae,Aloidendron_tongaensis,19.4532,0.28516,-0.0363884,0.319327,0
20000,Kumara_haemanthifolia,NA,14.0943,0.409113,0.0341685,0.665511,0
20000,Kumara_plicatilis,NA,13.168,0.0539287,-0.0119694,0.343772,0
20500,Aloe_aageodonta,Kumara_plicatilis,0,0.239395,0.0220912,0.104468,0
20500,Haworthiopsis_venosa,NA,27.8861,2.59423,0.00408638,0.390657,0
20500,Aloe_brevifolia,NA,27.8493,0.477724,0.0157611,2.337,0
20500,Kumara_haemanthifolia,NA,14.8682,0.0315172,0.0551903,0.0918844,0
20500,Kumara_plicatilis,NA,13.0944,0.00878821,0.0380249,0.199579,0
21000,Aloe_aageodonta,Kumara_plicatilis,0,0.251992,0.0271698,0.134301,0
21000,Kumara_haemanthifolia,NA,17.0424,0.0624007,0.020097,0.3843,0
21000,Kumara_plicatilis,NA,10.6031,0.276481,-0.000983745,0.689693,0
21500,Aloe_aageodonta,Kumara_plicatilis,0,0.270937,0.0299704,0.229635,0
21500,Kumara_plicatilis,NA,4.32254,0.228763,0.00925539,0.47558,0
22000,Aloe_aageodonta,Kumara_plicatilis,0,0.241005,0.0444906,0.208372,0
22000,Kumara_plicatilis,NA,3.72823,0.679109,-0.00520322,0.790236,0
22500,Aloe_aageodonta,Kumara_plicatilis,0,0.25293,0.0321263,0.167592,0
22500,Kumara_plicatilis,NA,5.03218,1.46029,-0.129957,0.739351,0
23000,Aloe_aageodonta,Kumara_plicatilis,0,0.354378,0.0209907,0.27969,0
23500,Aloe_aageodonta,Kumara_plicatilis,0,0.335564,0.00734092,0.212858,0
24000,Aloe_aageodonta,Kumara_plicatilis,0,0.146896,0.0837396,0.0279118,0
24500,Aloe_aageodonta,Kumara_plicatilis,0,0.203902,0.0974265,0.196995,0
