generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-0.0144922,-866.544,0.711376,1
500,0,-1.09487,-557.958,0.483241,0.292
1000,0,-0.945867,-558.052,0.472134,0.260739
1500,1,-3.37547,-550.062,3.08922,0.326
2000,2,-3.34717,-550.981,0.565616,0.396
2500,2,-1.88771,-551.83,1.83208,0.424
3000,0,-1.06021,-558.386,0.0292797,0.396
3500,0,-0.645095,-557.778,0.334929,0.202
4000,0,0.0705739,-558.209,0.211394,0.314
4500,0,-0.0389699,-559.179,0.304257,0.236
5000,2,-1.81635,-554.101,0.663263,0.4056
5500,1,-2.08929,-553.408,1.94957,0.446
6000,1,-2.39972,-551.676,0.614943,0.43
6500,1,-0.326546,-550.592,0.596816,0.512
7000,0,-1.53978,-558.639,1.70359,0.242333
7500,1,-2.43434,-552.571,0.795723,0.418
8000,1,-3.44285,-555.56,1.90932,0.354081
8500,1,-0.78836,-559.656,1.02315,0.392
9000,3,-2.44144,-542.2,1.24736,0.493667
9500,2,-2.6322,-555.769,2.65855,0.544
10000,1,-2.12185,-559.667,1.8819,0.467667
10500,0,-0.83712,-558.068,1.10574,0.302
11000,0,0.226051,-560.689,0.088118,0.3
11500,0,-0.0980089,-560.352,0.414658,0.188
12000,0,0.0434124,-559.269,0.166309,0.417132
12500,0,-0.15376,-557.919,0.233906,0.308
13000,0,-0.964088,-558.795,0.79031,0.279
13500,0,-0.913544,-557.874,0.464381,0.26
14000,0,-0.130998,-559.055,0.291263,0.251
14500,0,-0.42082,-557.591,0.491895,0.208
15000,0,-0.961768,-558.13,0.477705,0.1945
15500,0,-1.24596,-558.443,0.596586,0.2
16000,0,-1.28434,-561.573,0.697774,0.238
16500,0,-0.879034,-557.776,0.689567,0.286
17000,0,-0.155474,-557.668,0.12812,0.241
17500,0,-2.96124,-558.135,1.24452,0.22
18000,1,-1.30387,-554.274,0.624995,0.3425
18500,3,-8.57107,-549.658,2.841,0.488
19000,3,-2.56486,-546.288,0.70298,0.506
19500,4,-4.28189,-550.231,4.13056,0.564
20000,4,-3.75377,-548.226,2.85449,0.384667
20500,4,-6.83087,-549.341,4.19014,0.534
21000,2,-2.43296,-547.826,2.93149,0.512
21500,1,-0.781901,-553.714,1.06644,0.49
22000,1,-0.886102,-554.004,0.391994,0.445
22500,1,-5.03353,-551.876,0.858808,0.396
23000,0,-0.36599,-559.572,0.49267,0.39425
23500,0,-0.329439,-558.558,0.601172,0.152
24000,0,-0.909892,-560.418,0.123857,0.429714
24500,0,-2.06108,-558.19,0.60689,0.268
25000,1,0.106305,-536.542,0.158506,0.374882
25500,2,-4.17788,-536.192,1.84622,0.41
26000,3,-3.83049,-533.64,3.06138,0.428
26500,2,-2.36486,-534.778,2.46344,0.404
27000,3,-3.01003,-545.66,2.97559,0.34425
27500,3,-4.28651,-543.776,1.0198,0.516
28000,1,-4.2779,-554.929,1.26025,0.408667
28500,1,-1.42186,-553.04,0.750066,0.438
29000,1,-3.56775,-553.638,0.576367,0.456
29500,0,-0.315358,-558.818,0.473807,0.254
30000,3,-3.87003,-547.048,1.64697,0.493333
30500,2,-2.94105,-550.256,2.0753,0.472
31000,3,-1.69544,-549.474,0.796881,0.501
31500,2,-3.97981,-545.765,1.53184,0.482
32000,0,-1.64168,-558.995,0.042295,0.353625
32500,0,-0.991817,-557.661,1.18655,0.274
33000,1,-5.51425,-557.192,1.1469,0.259
33500,0,-0.283775,-558.78,0.571427,0.364
34000,1,-1.51367,-545.399,0.554759,0.308
34500,1,-3.86372,-542.14,2.78088,0.35
35000,1,-1.69614,-542.308,0.72056,0.348
35500,1,-2.10119,-539.558,1.71751,0.332
36000,2,-2.5774,-548.656,0.592706,0.5062
36500,1,-1.16365,-552.52,0.420603,0.482
37000,2,-3.51362,-531.413,3.44323,0.396909
37500,3,-0.759875,-526.96,0.380024,0.416
38000,0,-0.465474,-557.841,0.140157,0.294667
38500,0,-0.0487945,-557.936,0.111834,0.198
39000,0,-1.13592,-558.116,1.17704,0.209
39500,0,-1.18657,-557.678,1.29256,0.218
40000,1,-0.734501,-534.387,0.727169,0.387
40500,2,-5.80558,-534.036,2.87947,0.444
41000,1,-1.01859,-533.714,0.922809,0.454
41500,1,-0.964345,-537.776,0.810974,0.37
42000,1,-0.0620602,-556.503,0.903834,0.267167
42500,1,-1.07581,-553.68,1.36768,0.47
43000,1,0.296746,-554.245,0.473731,0.491
43500,1,-2.32926,-554.639,1.42643,0.5
44000,1,-1.07191,-560.367,0.868835,0.497
44500,0,-0.112905,-559.991,0.138211,0.356
45000,0,-0.906192,-558.328,1.18969,0.29
45500,0,-1.79553,-557.857,1.94234,0.184
46000,0,0.113473,-559.123,0.0488069,0.197
46500,0,-0.638563,-558.866,0.879948,0.194
47000,2,-2.85299,-524.737,3.09669,0.4296
47500,2,-0.930289,-525.996,1.25924,0.446
48000,1,-0.678435,-536.352,0.255867,0.412286
48500,1,-1.44237,-536.131,1.69769,0.376
49000,0,-0.450004,-557.701,0.564042,0.3684
49500,0,-0.0568256,-560.464,0.276583,0.334
50000,0,-2.41531,-558.788,2.37421,0.275
50500,0,-1.20649,-558.172,0.630707,0.272
51000,1,-2.31503,-555.362,0.639895,0.2102
51500,1,-3.37887,-553.775,2.5373,0.432
52000,1,-2.28696,-553.662,1.12053,0.461
52500,1,-2.92666,-553.388,0.82127,0.466
53000,0,-0.452424,-559.451,0.330904,0.378
53500,0,-0.781462,-558.42,0.491254,0.21
54000,2,-0.922772,-524.85,0.838923,0.442
54500,2,-1.08833,-521.592,0.740042,0.406
55000,2,-2.54983,-524.976,2.26792,0.425
55500,3,-4.88952,-523.42,2.24294,0.49
56000,3,-5.02473,-524.377,3.27115,0.495
56500,2,-6.41105,-523.196,2.21215,0.486
57000,1,-2.59375,-532.557,2.82019,0.376857
57500,1,-1.36568,-535.69,0.78925,0.418
58000,3,-4.36909,-525.181,1.49003,0.4835
58500,2,-2.64538,-527.163,2.66492,0.456
59000,2,-1.01135,-525.779,1.29757,0.448
59500,2,-2.72223,-531.359,1.44435,0.444
60000,2,-0.93112,-529.861,0.374345,0.448
60500,2,-2.09161,-526.04,2.0955,0.418
61000,2,-2.56152,-526.275,3.1843,0.428
61500,2,-0.362984,-527.11,1.11147,0.426
62000,5,-6.37296,-517.486,2.55443,0.424467
62500,3,-4.55038,-519.555,1.12461,0.418
63000,3,-2.24916,-526.989,0.557504,0.403
63500,3,-5.34737,-516.25,2.2917,0.388
64000,1,-0.233646,-536.335,0.740492,0.418714
64500,1,-0.155555,-534.851,0.409015,0.37
65000,1,-0.319136,-535.588,0.908305,0.4645
65500,1,-0.786748,-533.747,0.930586,0.392
66000,1,-0.188974,-535.001,0.700064,0.389
66500,2,-1.27566,-535.239,1.22993,0.422
67000,1,-0.938557,-533.851,1.00769,0.398333
67500,1,0.0672348,-534.891,0.22438,0.454
68000,2,-3.86556,-524.638,0.782741,0.3688
68500,2,-9.12831,-520.745,2.50715,0.45
69000,3,-4.14628,-530.033,0.771198,0.4275
69500,2,-4.89849,-532.83,1.7655,0.402
70000,2,-7.22415,-530.292,2.28516,0.409
70500,2,-3.98037,-528.75,0.477784,0.43
71000,3,-3.28123,-509.988,2.44381,0.41975
71500,3,-7.19471,-515.147,2.11309,0.426
72000,3,-2.5154,-517.044,2.42944,0.419
72500,5,-4.82625,-512.539,2.14463,0.438
73000,2,-2.1688,-532.824,2.14902,0.451333
73500,2,-1.67935,-535.367,1.53786,0.47
74000,3,-1.52486,-531.746,1.05002,0.408125
74500,2,-4.09306,-531.709,2.17984,0.486
75000,3,-4.24615,-531.827,0.784018,0.499
75500,3,-4.95419,-524.773,3.24942,0.43
76000,4,-1.94802,-521.667,1.60657,0.4415
76500,4,-6.60122,-518.76,3.25769,0.422
77000,3,-2.06174,-522.435,1.67866,0.4884
77500,5,-10.0739,-513.829,2.56646,0.466
78000,3,-2.30946,-523.508,2.08626,0.457667
78500,3,-2.39317,-521.265,1.58287,0.484
79000,3,-3.68752,-521.859,1.15004,0.466
79500,3,-1.23524,-524.419,2.78827,0.48
80000,4,-5.90418,-519.187,2.30354,0.453
80500,5,-4.04688,-518.002,3.31692,0.362
81000,3,-1.93851,-519.433,2.05397,0.4685
81500,4,-8.60014,-519.499,2.58479,0.434
82000,7,-13.4922,-518.268,1.69263,0.435
82500,7,-11.4687,-520.917,1.39867,0.492
83000,5,-10.8745,-522.063,6.34723,0.501
83500,7,-12.9006,-511.798,3.86698,0.496
84000,6,-5.58426,-518.774,2.53507,0.509
84500,6,-7.87386,-516.463,3.90286,0.45
85000,4,-5.62158,-519.888,3.91269,0.469889
85500,7,-7.12249,-514.084,1.89144,0.47
86000,3,-0.939484,-517.348,1.40783,0.482
86500,3,-0.625459,-514.279,1.39824,0.42
87000,3,-2.2096,-513.856,3.56334,0.413
87500,3,-3.55596,-515.08,4.14918,0.402
88000,5,-10.8775,-521.282,4.80435,0.513333
88500,5,-8.98595,-520.846,2.1602,0.464
89000,3,-3.72297,-521.722,1.19739,0.493
89500,3,-1.16134,-526.846,1.04046,0.52
90000,3,-2.99992,-511.323,2.07851,0.416667
90500,3,-0.661985,-518.168,0.843464,0.4
91000,4,-6.27427,-519.516,5.30977,0.417
91500,5,-7.38943,-515.028,3.30269,0.412
92000,3,-2.57251,-518.702,2.15197,0.411
92500,3,-3.34938,-517.407,1.49267,0.378
93000,3,-3.67435,-519.61,2.31435,0.386
93500,3,-2.66606,-519.803,2.90567,0.416
94000,4,-3.72061,-522.018,1.17726,0.477333
94500,4,-3.85823,-513.993,3.26913,0.488
95000,4,-3.2466,-521.587,1.65748,0.478136
95500,3,-4.10836,-522.091,1.77089,0.452
96000,2,-1.68712,-523.209,0.574028,0.453
96500,4,-6.21071,-523.249,1.62056,0.444
97000,3,-4.34676,-517.343,3.14082,0.456667
97500,3,-3.25157,-516.617,0.641582,0.52
98000,3,-2.37574,-516.719,1.94011,0.413
98500,3,-6.28648,-518.125,3.10149,0.418
99000,4,-4.08538,-516.928,1.43114,0.41
99500,4,-2.36736,-518.373,0.749234,0.444
100000,4,-4.68108,-512.876,2.51121,0.429
100500,3,-4.34197,-516.163,2.14925,0.384
101000,3,-2.13424,-518.194,0.455859,0.381
101500,3,-5.3849,-522.78,2.10321,0.418
102000,2,-1.88807,-524.337,1.56886,0.463
102500,3,-2.05871,-525.513,1.32232,0.514
103000,2,-2.31851,-526.363,0.917825,0.463
103500,2,-3.11051,-526.514,1.00993,0.472
104000,2,-0.850444,-526.254,1.14635,0.444733
104500,2,-1.66633,-525.713,0.788999,0.452
105000,3,-4.48311,-526.04,1.92116,0.45
105500,2,-0.397092,-527.842,0.788627,0.444
106000,2,-1.00017,-526.112,1.09498,0.443
106500,2,-0.812896,-531.096,1.73644,0.434
107000,2,-3.40119,-522.88,1.85864,0.435818
107500,3,-3.80214,-525.846,3.21916,0.394
108000,2,-2.29024,-526.372,1.53689,0.406
108500,2,-1.37818,-526.616,0.876035,0.36
109000,2,-4.31576,-527.077,3.89638,0.391
109500,2,-3.53891,-524.227,2.01498,0.416
110000,4,-8.83692,-519.959,4.01344,0.431
110500,4,-3.17053,-520.603,1.8468,0.424
111000,3,-5.76201,-517.834,3.85464,0.429
111500,3,-7.29473,-518.806,3.24162,0.408
112000,5,-6.94087,-509.117,2.31112,0.430455
112500,7,-13.8834,-507.839,3.69666,0.414
113000,3,-3.08999,-517.037,1.40946,0.4637
113500,3,-5.13496,-518.985,2.92395,0.446
114000,7,-8.2822,-513.377,3.53527,0.4605
114500,7,-9.27467,-514.337,4.45118,0.456
115000,3,-9.73469,-519.517,1.15245,0.396
115500,3,-10.2601,-516.813,3.00626,0.408
116000,3,-8.04302,-521.961,1.71868,0.394
116500,5,-12.2382,-521.664,2.90269,0.442
117000,4,-3.27601,-515.949,2.0917,0.391167
117500,4,-4.86586,-515.278,3.06829,0.404
118000,4,-7.10676,-512.248,2.14018,0.419
118500,4,-7.43596,-512.855,3.09823,0.472
119000,4,-3.19006,-514.445,2.04398,0.458
119500,4,-12.0858,-516.695,4.88718,0.458
120000,4,-3.69101,-520.2,1.45663,0.432
120500,4,-2.30643,-519.578,1.2416,0.504
121000,5,-6.91477,-512.185,4.11217,0.460857
121500,6,-6.73025,-512.73,4.14053,0.45
122000,3,-3.22361,-521.673,1.9436,0.449667
122500,6,-9.89654,-519.244,2.56882,0.452
123000,6,-7.2027,-512.294,3.36532,0.4825
123500,5,-14.323,-510.31,6.76573,0.49
124000,5,-5.39328,-507.111,3.23032,0.485
124500,5,-10.3723,-512.939,0.901542,0.4
125000,3,-6.37644,-525.756,3.52284,0.428737
125500,4,-6.69523,-519.202,1.83203,0.44
126000,5,-10.8675,-511.985,2.46161,0.4715
126500,4,-7.79855,-515.842,3.46248,0.44
127000,4,-3.72003,-513.3,1.51722,0.427
127500,4,-7.5839,-513.529,3.51586,0.444
128000,3,-3.9068,-519.619,2.18281,0.468167
128500,3,-2.9009,-519.191,1.80552,0.478
129000,4,-6.46301,-516.497,3.16714,0.437
129500,4,-9.29959,-517.942,2.16847,0.476
130000,4,-5.85437,-522.024,2.77737,0.462
130500,4,-7.35056,-524.217,1.14259,0.502
131000,5,-9.56829,-519.603,2.10903,0.492
131500,4,-9.44099,-524.114,2.11003,0.46
132000,5,-12.5685,-520.229,3.8171,0.432
132500,3,-7.663,-521.21,3.16867,0.474
133000,3,-4.57722,-520.203,1.89344,0.45275
133500,3,-6.56019,-520.145,1.25405,0.47
134000,3,-1.9429,-521.102,1.08015,0.4405
134500,3,-4.7165,-518.469,3.36756,0.42
135000,3,-2.95978,-522.602,1.08437,0.421
135500,5,-9.967,-521.389,1.49013,0.454
136000,3,-6.57922,-520.659,1.73601,0.483
136500,4,-6.10026,-516.357,1.44834,0.48
137000,4,-9.72836,-515.023,1.52067,0.465
137500,4,-3.64886,-514.076,1.96702,0.444
138000,4,-5.51411,-516.407,1.47323,0.475
138500,3,-4.55874,-524.975,1.94499,0.43
139000,3,-4.19663,-521.222,2.72729,0.458
139500,3,-3.46773,-519.458,1.28358,0.456
140000,3,-2.82342,-523.299,1.89708,0.43375
140500,3,-4.26539,-518.113,2.37758,0.41
141000,3,-1.87794,-519.909,1.63425,0.441
141500,4,-4.17792,-514.938,3.36527,0.468
142000,4,-0.860138,-517.579,1.03463,0.444
142500,4,-4.68733,-521.643,2.39133,0.424
143000,5,-6.35619,-521.256,3.09852,0.446
143500,2,-0.0647196,-522.117,0.229305,0.418
144000,3,-2.51701,-513.601,1.358,0.43145
144500,3,-3.1424,-517.613,1.65983,0.42
145000,4,-6.69106,-516.645,1.37198,0.469
145500,4,-4.44725,-514.17,3.97644,0.496
146000,4,-3.917,-511.878,1.01551,0.499
146500,3,-5.0328,-517.06,2.35998,0.48
147000,5,-7.53278,-514.622,4.28846,0.488
147500,3,-2.66148,-514.505,1.80723,0.44
148000,3,-2.99624,-515.178,1.72233,0.423
148500,3,-1.11161,-516.245,1.07978,0.44
149000,4,-3.95543,-510.316,3.15673,0.464
149500,4,-4.27219,-507.606,2.34699,0.426
150000,3,-5.90374,-518.462,2.47041,0.442364
150500,3,-4.22398,-519.095,2.65551,0.444
151000,3,-2.79531,-521.855,2.44484,0.453
151500,3,-3.79485,-520.664,2.95585,0.492
152000,3,-3.70831,-524.324,2.42787,0.475
152500,2,-2.60843,-526.321,1.62805,0.462
153000,3,-2.6167,-524.494,3.20931,0.492
153500,3,-1.70315,-521.352,2.02059,0.446
154000,2,-0.142754,-526.557,0.902091,0.416857
154500,2,-1.26887,-528.078,1.35674,0.47
155000,5,-5.2579,-515.216,1.35709,0.444
155500,3,-3.15921,-515.544,1.63559,0.468
156000,3,-4.24755,-525.286,1.32598,0.4765
156500,2,-0.990535,-525.152,0.901278,0.496
157000,4,-5.14669,-512.846,1.65053,0.454
157500,3,-4.50031,-511.241,1.92956,0.452
158000,3,-0.534171,-517.226,0.858692,0.457
158500,3,-3.32694,-518.01,2.88164,0.484
159000,3,-1.88879,-522.322,1.99367,0.461
159500,3,-1.56758,-519.595,1.80299,0.402
160000,3,-0.685752,-512.577,0.840253,0.428
160500,3,-3.00989,-511.323,1.09154,0.428
161000,4,-6.03445,-507.686,1.03455,0.435
161500,4,-3.82064,-513.235,3.10732,0.462
162000,3,-2.24881,-517.721,1.83293,0.447846
162500,3,-3.20775,-516.68,0.741863,0.46
163000,2,-4.00188,-529.507,2.00848,0.452
163500,2,-5.54775,-531.027,1.56167,0.454
164000,4,-6.583,-512.247,6.64347,0.4565
164500,3,-1.44157,-512.471,1.57698,0.462
165000,3,-2.38533,-513.485,2.3459,0.43
165500,3,-3.85623,-512.591,1.74526,0.462
166000,3,-3.78606,-519.328,1.42507,0.449
166500,4,-5.88782,-513.896,2.67693,0.422
167000,4,-3.66601,-512.661,2.81905,0.447
167500,4,-4.2239,-513.686,1.79074,0.478
168000,3,-2.51266,-517.721,1.86912,0.442286
168500,3,-2.065,-516.76,1.35221,0.41
169000,4,-5.40117,-524.037,3.36772,0.414
169500,4,-5.38932,-519.821,2.33749,0.416
170000,4,-2.24263,-521.819,1.18326,0.439
170500,4,-3.24068,-522.116,2.98926,0.404
171000,4,-2.65,-515.497,1.86414,0.438
171500,5,-7.80347,-522.691,2.05615,0.534
172000,3,-2.20672,-513.581,0.801978,0.455
172500,4,-4.35663,-510.74,3.27924,0.46
173000,5,-4.9518,-509.843,1.1306,0.46
173500,4,-2.63747,-508.121,1.18606,0.502
174000,5,-3.344,-510.877,3.03816,0.465
174500,5,-5.38618,-508.96,3.85951,0.46
175000,5,-3.9932,-509.047,3.60855,0.4505
175500,5,-4.10776,-510.69,3.06212,0.446
176000,5,-6.46352,-525.895,4.12765,0.465462
176500,4,-5.71383,-523.899,3.0592,0.51
